data,plytka,egzemplarz,scenariusz,flagi,napiecie_V,prad_uA,oczekiwane,uwagi,prad_min_uA,prad_max_uA,czas_s,sesja
2026-07-23 12:13,BTZ_EndDevice/nrf54l15/cpuapp,1,idle,-DCONFIG_SLEEP_SYSTEM_ON_IDLE=y,3.0,6117.7736,"~1-2 uA (System ON IDLE, kolumna LFXO)",przerwano,-571.4496,330079.0,7.432,reports/sessions/20260723_121129_interfejs/20260723_121222_idle
2026-07-23 12:17,BTZ_EndDevice/nrf54l15/cpuapp,1,idle,-DCONFIG_SLEEP_SYSTEM_ON_IDLE=y,3.0,139693.9522,"~1-2 uA (System ON IDLE, kolumna LFXO)",przerwano,-13442.0371,21038508.0,85.715,reports/sessions/20260723_121357_interfejs/20260723_121412_idle
2026-07-23 14:18,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,wake_gpio,-DCONFIG_SLEEP_SYSTEM_OFF_WAKE_GPIO=y,3.0,13362.1735,jak 'Sen głęboki — minimum' + koszt SENSE,autorun: plan interfejs,-13442.0371,21038508.0,30.0,reports/sessions/20260723_141707_interfejs/20260723_141743_wake_gpio
2026-07-23 14:29,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,wake_gpio,-DCONFIG_SLEEP_SYSTEM_OFF_WAKE_GPIO=y,3.0,16298.532,jak 'Sen głęboki — minimum' + koszt SENSE,autorun: plan interfejs,-17116.9336,31052656.0,30.0,reports/sessions/20260723_142732_interfejs/20260723_142810_wake_gpio
2026-07-23 14:50,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,reset_only,-DCONFIG_SLEEP_SYSTEM_OFF_RESET_ONLY=y,3.0,17005.6551,~0.3-0.5 uA (System OFF bez retencji; DK zmierzone ~0.95 uA),autorun: plan interfejs,-13442.0371,21038508.0,30.0,reports/sessions/20260723_144753_interfejs/20260723_144807_reset_only
2026-07-23 14:52,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,idle,-DCONFIG_SLEEP_SYSTEM_ON_IDLE=y,3.0,16936.5596,"~1-2 uA (System ON IDLE, kolumna LFXO)",autorun: plan interfejs,-13442.0371,179198.6562,30.0,reports/sessions/20260723_144753_interfejs/20260723_145111_idle
2026-07-23 14:57,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,lpn,source=../Projekt-BLE-Mesh-Friend/app/apps/lpn,3.0,10234621.7316,,przerwano,4376.3413,20245836.0,19.687,reports/sessions/20260723_145558_interfejs/20260723_145623_lpn
2026-07-23 15:02,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,lpn,source=../Projekt-BLE-Mesh-Friend/app/apps/lpn,3.0,171481.1088,,autorun: plan interfejs,24.5242,20103614.0,30.0,reports/sessions/20260723_145838_interfejs/20260723_145853_lpn
2026-07-23 16:08,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,lpn,source=../Projekt-BLE-Mesh-Friend/app/apps/lpn,3.0,23.1371,,autorun: plan interfejs,-0.0685,193411.3438,60.0,reports/sessions/20260723_160456_interfejs/20260723_160514_lpn
2026-07-23 16:29,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,lpn,source=../Projekt-BLE-Mesh-Friend/app/apps/lpn,3.0,13.8294,,autorun: plan interfejs,-0.245,184479.5781,120.0,reports/sessions/20260723_162535_interfejs/20260723_162551_lpn
2026-07-23 16:33,BTZ_EndDevice/nrf54l15/cpuapp,BTZ #1,lpn,source=../Projekt-BLE-Mesh-Friend/app/apps/lpn,3.0,14.063,,autorun: plan interfejs,-0.0685,184533.0,120.0,reports/sessions/20260723_162535_interfejs/20260723_162907_lpn
